GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7Z001,H7Z002,H7Z003,H7Z004,H7Z005,H7Z006,H7Z007,H7Z008,H7Z009,H7Z010,H7Z011,H7Z012,H7Z013,H7Z014,H7Z015,H7Z016,H7Z017,H76001,H76002,H76003,H76004,H76005,H76006,H76007,H76008,H76009,H76010,H76011,H76012,H76013,H76014,H76015,H76016,H76017,H76018,H76019,H76020,H76021,H76022,H76023,H76024,H76025,H76026,H76027,H76028,H76029,H76030,H76031,H76032,H76033,H76034,H76035,H76036,H76037,H76038,H76039,H76040,H76041,H76042,H76043,H76044,H76045,H76046,H76047,H76048,H76049
"G20007900305003","2010","2","4","Kansas","20","Harvey County","079",,,"030500","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,2586,2586,1723,0,1723,863,0,2586,2462,2345,26,9,36,1,0,45,124,73,1,1,1,0,42,6,2586,1333,89,107,110,80,28,10,2,44,79,73,74,75,116,100,94,26,54,26,32,41,26,29,18,1253,65,85,110,67,26,8,16,36,78,60,61,98,114,86,93,33,48,20,35,44,33,27,10
"G20007900305004","2010","2","4","Kansas","20","Harvey County","079",,,"030500","4",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 4",,1845,1845,1583,0,1583,262,0,1845,1781,1683,35,4,32,0,2,25,64,34,1,8,0,0,17,4,1845,859,47,58,40,25,90,63,16,22,41,43,32,30,26,36,44,15,27,13,14,30,50,53,44,986,55,47,47,31,87,47,11,14,39,45,41,32,36,41,44,15,29,14,26,46,76,65,98
"G20007900306001","2010","2","4","Kansas","20","Harvey County","079",,,"030600","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,806,806,0,0,0,806,0,806,788,769,10,1,0,0,1,7,18,17,0,0,0,0,0,1,806,412,27,27,34,27,11,2,2,10,10,15,7,24,33,47,43,17,20,8,8,12,17,9,2,394,21,27,29,28,12,2,1,3,12,15,11,18,47,49,34,6,15,10,14,17,14,5,4
"G20007900306002","2010","2","4","Kansas","20","Harvey County","079",,,"030600","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,1163,1163,231,0,231,932,0,1163,1122,1098,5,9,8,0,0,2,41,22,2,5,0,0,9,3,1163,588,26,35,53,31,17,6,3,10,16,28,29,32,56,63,50,15,19,14,19,24,24,11,7,575,36,41,35,32,15,5,3,14,21,25,30,42,48,50,52,15,20,8,18,33,19,9,4
"G20007900306003","2010","2","4","Kansas","20","Harvey County","079",,,"030600","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,1536,1536,0,0,0,1536,0,1536,1476,1436,3,5,6,0,0,26,60,32,0,2,0,0,23,3,1536,754,51,73,66,31,22,5,2,25,52,37,47,53,51,53,58,19,16,11,17,18,15,19,13,782,58,67,78,35,13,4,5,21,37,54,45,51,61,55,45,12,18,18,17,22,23,23,20
"G20007900306004","2010","2","4","Kansas","20","Harvey County","079",,,"030600","4",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 4",,1169,1169,0,0,0,1169,0,1169,1123,1094,8,3,5,0,0,13,46,34,0,0,0,0,10,2,1169,580,41,41,55,33,9,10,3,12,34,36,37,30,49,43,39,9,21,3,10,23,25,11,6,589,32,46,46,20,8,8,7,16,20,52,32,55,43,43,23,9,12,11,22,27,30,12,15
"G20007900306005","2010","2","4","Kansas","20","Harvey County","079",,,"030600","5",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 5",,1050,1050,0,0,0,1050,0,1050,1013,991,3,0,2,0,0,17,37,26,0,3,0,0,5,3,1050,483,38,47,50,19,6,5,4,7,27,23,27,33,33,36,34,10,8,9,4,15,17,15,16,567,37,43,42,30,14,5,1,17,26,43,22,36,30,37,34,20,18,6,13,20,18,18,37
"G20007900306006","2010","2","4","Kansas","20","Harvey County","079",,,"030600","6",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 6",,1532,1532,0,0,0,1532,0,1532,1457,1405,8,12,3,0,3,26,75,45,0,0,0,0,26,4,1532,751,47,65,55,29,21,6,4,24,34,43,43,51,62,76,51,17,16,14,17,29,23,14,10,781,56,59,63,46,21,8,4,22,43,46,45,35,59,70,55,15,20,12,22,27,23,17,13
"G20008104631001","2010","2","4","Kansas","20","Haskell County","081",,,"463100","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1324,1324,0,0,0,1324,0,1324,1045,1037,1,1,0,0,1,5,279,155,0,4,0,0,110,10,1324,685,73,69,47,42,20,5,7,22,40,54,35,39,53,62,44,16,16,5,11,11,5,7,2,639,50,50,67,33,24,9,7,17,50,37,37,40,49,43,46,9,12,4,6,16,17,12,4
"G20008104631002","2010","2","4","Kansas","20","Haskell County","081",,,"463100","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,590,590,0,0,0,590,0,590,455,441,1,7,1,0,0,5,135,86,0,1,0,0,47,1,590,291,13,16,23,22,11,1,2,10,10,23,15,16,17,22,33,12,10,6,8,8,5,6,2,299,15,21,17,23,7,2,1,7,16,13,22,13,28,28,28,5,11,3,8,7,13,7,4
"G20008104631003","2010","2","4","Kansas","20","Haskell County","081",,,"463100","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,1123,1123,0,0,0,1123,0,1123,850,836,0,6,0,0,0,8,273,126,0,1,0,0,129,17,1123,554,44,53,55,35,24,10,5,17,21,37,43,35,28,37,34,19,13,8,9,9,10,4,4,569,46,53,62,34,13,5,7,13,26,37,50,33,28,40,29,11,22,2,10,15,13,13,7
"G20008104631004","2010","2","4","Kansas","20","Haskell County","081",,,"463100","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,1219,1219,0,0,0,1219,0,1219,757,722,2,2,9,0,0,22,462,238,8,6,0,0,192,18,1219,600,53,57,54,31,18,5,5,20,33,30,31,31,41,44,35,19,19,11,8,17,20,9,9,619,51,37,49,31,11,5,9,12,37,41,36,29,50,39,48,13,20,11,10,18,29,11,22
"G20008304611001","2010","2","4","Kansas","20","Hodgeman County","083",,,"461100","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1916,1916,0,0,0,1916,0,1916,1798,1748,20,3,8,0,0,19,118,58,0,0,0,0,48,12,1916,958,50,64,57,51,22,5,6,23,44,39,49,49,79,106,78,24,23,19,24,40,51,35,20,958,64,59,75,40,23,4,4,15,52,35,42,51,83,85,69,22,28,13,33,55,44,29,33
"G20008500826001","2010","2","4","Kansas","20","Jackson County","085",,,"082600","1",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 1",,1792,1792,0,0,0,1792,0,1792,1738,1599,9,79,0,1,0,50,54,27,1,14,0,0,3,9,1792,935,64,56,78,48,18,7,6,22,38,47,44,71,90,75,78,23,39,30,21,35,22,14,9,857,48,55,66,39,20,9,6,19,48,43,51,68,80,87,72,16,30,19,20,31,16,12,2
"G20008500826002","2010","2","4","Kansas","20","Jackson County","085",,,"082600","2",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 2",,1417,1417,0,0,0,1417,0,1417,1358,1250,3,65,10,0,3,27,59,41,0,13,0,0,4,1,1417,721,51,52,69,44,15,4,5,20,32,33,49,56,65,53,40,23,30,18,13,17,17,12,3,696,37,52,63,29,12,6,5,20,34,34,47,65,58,47,53,19,27,10,17,28,10,12,11
"G20008500826003","2010","2","4","Kansas","20","Jackson County","085",,,"082600","3",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 3",,791,791,0,0,0,791,0,791,790,757,6,7,1,0,0,19,1,1,0,0,0,0,0,0,791,391,24,28,26,11,2,3,5,11,19,15,27,29,36,34,36,12,15,9,11,12,12,10,4,400,23,28,28,15,6,2,2,9,24,22,20,19,37,40,23,9,16,7,11,20,12,18,9
"G20008500826004","2010","2","4","Kansas","20","Jackson County","085",,,"082600","4",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 4",,630,630,0,0,0,630,0,630,628,616,1,2,4,0,0,5,2,2,0,0,0,0,0,0,630,341,14,29,25,15,11,2,1,9,12,18,19,23,24,33,27,14,17,11,14,10,7,6,0,289,15,13,21,12,6,0,1,5,10,16,15,19,32,27,29,11,18,7,9,8,10,2,3
"G20008500826005","2010","2","4","Kansas","20","Jackson County","085",,,"082600","5",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 5",,759,759,0,0,0,759,0,759,750,731,0,5,2,0,0,12,9,3,0,0,0,0,3,3,759,384,33,27,30,15,8,5,3,5,17,23,24,25,22,39,21,7,13,13,10,17,8,13,6,375,22,29,25,17,10,4,5,9,20,22,19,20,28,31,26,9,19,4,13,15,12,5,11
"G20008500827001","2010","2","4","Kansas","20","Jackson County","085",,,"082700","1",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 1",,1542,1542,1184,0,1184,358,0,1542,1501,1414,11,48,7,0,2,19,41,22,0,7,0,0,0,12,1542,723,65,68,44,35,16,6,5,22,37,36,41,43,42,58,46,16,18,10,25,21,30,16,23,819,49,47,57,35,18,9,11,29,40,48,41,56,42,62,48,15,21,26,25,31,40,22,47
"G20008500827002","2010","2","4","Kansas","20","Jackson County","085",,,"082700","2",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 2",,1110,1110,745,0,745,365,0,1110,1082,1012,9,21,7,0,0,33,28,5,0,3,0,0,15,5,1110,528,38,42,43,26,10,4,3,14,18,25,43,38,34,31,34,10,14,12,17,13,19,13,27,582,24,28,38,10,8,7,7,17,17,31,34,42,32,34,44,15,28,19,24,22,26,29,46
"G20008500827003","2010","2","4","Kansas","20","Jackson County","085",,,"082700","3",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 3",,721,721,684,0,684,37,0,721,652,589,11,21,10,0,1,20,69,21,0,0,0,0,40,8,721,362,26,27,20,28,8,6,3,22,34,20,15,23,20,32,20,7,13,4,5,11,6,7,5,359,30,22,15,13,5,3,6,18,31,22,19,25,27,23,18,8,8,10,5,15,7,12,17
"G20008500827004","2010","2","4","Kansas","20","Jackson County","085",,,"082700","4",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 4",,632,632,632,0,632,0,0,632,595,559,6,14,2,0,0,14,37,22,0,2,0,0,9,4,632,289,23,21,23,13,6,2,1,13,23,10,18,17,17,27,13,6,7,4,5,13,8,11,8,343,32,27,22,11,6,6,4,14,18,15,22,18,30,21,18,9,9,3,10,13,16,12,7
"G20008500828001","2010","2","4","Kansas","20","Jackson County","085",,,"082800","1",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 1",,1648,1648,0,0,0,1648,0,1648,1624,1510,5,67,4,0,0,38,24,12,2,3,0,0,3,4,1648,859,49,63,91,44,23,6,3,17,32,37,47,66,63,64,65,31,36,19,20,37,21,13,12,789,64,55,37,38,14,6,3,20,30,46,42,55,70,63,71,22,34,20,27,28,21,16,7
"G20008500828002","2010","2","4","Kansas","20","Jackson County","085",,,"082800","2",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 2",,2420,2420,0,0,0,2420,0,2420,2306,1522,8,645,1,0,0,130,114,28,1,60,0,0,14,11,2420,1211,82,126,111,70,25,12,14,35,61,65,71,90,86,73,93,28,33,25,34,31,28,14,4,1209,93,104,109,60,30,8,17,24,70,62,62,87,85,90,82,30,45,23,26,37,25,21,19
"G20008700201011","2010","2","4","Kansas","20","Jefferson County","087",,,"020101","1",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 1",,1415,1415,22,22,0,1393,0,1415,1381,1334,3,19,2,0,0,23,34,26,1,0,0,0,0,7,1415,731,48,64,56,36,16,12,8,20,38,31,39,49,67,67,32,20,28,13,13,37,22,5,10,684,26,58,50,28,19,5,4,22,35,33,45,55,65,63,36,12,21,15,20,26,22,9,15
"G20008700201012","2010","2","4","Kansas","20","Jefferson County","087",,,"020101","2",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 2",,976,976,204,204,0,772,0,976,944,903,2,12,8,0,0,19,32,23,1,0,0,0,8,0,976,494,23,30,31,21,14,4,3,13,28,19,24,35,34,53,51,18,20,7,13,22,25,4,2,482,22,26,34,15,7,1,2,16,14,18,27,29,52,45,41,16,31,9,13,27,12,14,11
"G20008700201013","2010","2","4","Kansas","20","Jefferson County","087",,,"020101","3",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 3",,1204,1204,0,0,0,1204,0,1204,1180,1142,7,15,2,0,0,14,24,10,0,0,0,0,6,8,1204,603,48,46,55,35,15,1,8,13,37,25,33,37,50,45,31,18,26,12,14,20,14,16,4,601,34,42,51,32,18,4,4,15,32,40,32,33,54,43,30,15,24,15,20,23,17,12,11
"G20008700201014","2010","2","4","Kansas","20","Jefferson County","087",,,"020101","4",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 4",,827,827,0,0,0,827,0,827,812,795,6,5,0,0,0,6,15,11,0,1,0,0,3,0,827,444,29,32,30,22,7,3,1,5,17,18,37,35,34,34,36,10,25,18,12,18,11,5,5,383,18,24,19,9,4,1,0,4,17,31,31,28,40,39,39,9,18,16,4,18,7,4,3
"G20008700201015","2010","2","4","Kansas","20","Jefferson County","087",,,"020101","5",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 5",,1756,1756,0,0,0,1756,0,1756,1727,1688,7,9,5,1,0,17,29,23,0,0,0,0,3,3,1756,909,41,54,83,40,18,6,4,25,34,29,52,70,98,76,80,25,38,25,34,31,22,14,10,847,44,38,63,43,17,4,6,15,36,38,57,62,89,90,70,22,30,28,26,35,17,7,10
"G20008700201021","2010","2","4","Kansas","20","Jefferson County","087",,,"020102","1",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 1",,1483,1483,0,0,0,1483,0,1483,1460,1396,12,12,4,0,0,36,23,16,0,2,1,0,4,0,1483,730,52,69,53,43,23,7,6,17,38,48,46,46,48,54,48,11,31,18,19,21,16,13,3,753,36,55,56,49,10,8,10,18,30,50,51,47,55,58,61,23,24,16,14,23,18,16,25
"G20008700201022","2010","2","4","Kansas","20","Jefferson County","087",,,"020102","2",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 2",,1772,1772,0,0,0,1772,0,1772,1739,1643,14,13,3,2,2,62,33,29,0,0,0,0,4,0,1772,936,56,64,70,28,23,8,9,25,32,46,58,56,89,94,90,25,38,22,29,33,19,16,6,836,50,47,66,31,17,2,8,14,49,38,52,61,88,87,67,29,28,17,26,25,14,11,9
"G20008700202001","2010","2","4","Kansas","20","Jefferson County","087",,,"020200","1",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 1",,915,915,0,0,0,915,0,915,901,865,23,9,1,0,0,3,14,12,1,0,0,0,0,1,915,437,12,26,29,30,9,6,2,7,19,16,22,26,45,36,38,22,13,7,17,17,14,9,15,478,26,22,42,23,12,2,5,7,12,19,29,44,39,32,24,15,12,8,17,17,15,21,35
"G20008700202002","2010","2","4","Kansas","20","Jefferson County","087",,,"020200","2",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 2",,1075,1075,0,0,0,1075,0,1075,1058,1048,0,5,0,0,1,4,17,11,1,1,0,0,1,3,1075,527,23,28,57,29,13,5,2,17,27,33,36,48,40,34,50,7,7,9,12,21,12,13,4,548,32,40,39,41,10,4,6,10,31,27,28,40,55,33,41,8,16,13,9,22,13,12,18
"G20008700202003","2010","2","4","Kansas","20","Jefferson County","087",,,"020200","3",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 3",,972,972,0,0,0,972,0,972,957,937,1,6,0,0,0,13,15,12,0,0,0,0,1,2,972,486,40,34,41,22,9,8,2,12,24,23,26,27,37,37,34,7,20,12,13,17,18,12,11,486,40,27,40,21,9,1,2,10,38,24,17,35,36,31,25,10,11,6,14,22,18,24,25
"G20008700202004","2010","2","4","Kansas","20","Jefferson County","087",,,"020200","4",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 4",,1068,1068,0,0,0,1068,0,1068,1056,1035,1,9,0,1,0,10,12,7,0,0,0,0,0,5,1068,526,37,40,26,26,7,4,7,12,38,32,17,31,39,37,37,9,22,13,21,21,21,14,15,542,24,36,37,28,10,4,7,21,31,9,29,34,42,39,43,11,16,11,19,22,23,23,23
"G20008700203001","2010","2","4","Kansas","20","Jefferson County","087",,,"020300","1",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 1",,1740,1740,0,0,0,1740,0,1740,1716,1674,5,12,4,0,0,21,24,22,0,0,0,0,1,1,1740,890,68,60,63,37,29,8,10,26,53,57,37,53,74,79,68,16,31,16,28,19,17,26,15,850,40,60,49,33,23,8,9,36,49,35,45,53,71,74,57,24,30,20,14,30,33,26,31
"G20008700203002","2010","2","4","Kansas","20","Jefferson County","087",,,"020300","2",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 2",,1124,1124,0,0,0,1124,0,1124,1110,1071,7,9,3,0,6,14,14,11,0,0,0,0,1,2,1124,558,42,43,52,25,8,6,3,18,34,33,22,37,65,42,35,16,10,2,15,17,16,8,9,566,44,35,41,31,10,7,6,15,37,26,37,37,41,46,37,9,19,9,19,23,15,13,9
"G20008700203003","2010","2","4","Kansas","20","Jefferson County","087",,,"020300","3",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 3",,1448,1448,0,0,0,1448,0,1448,1425,1364,7,27,4,0,0,23,23,10,0,0,0,0,10,3,1448,731,35,59,62,22,19,2,6,14,33,34,31,46,66,58,75,22,35,14,20,36,20,17,5,717,33,34,54,32,11,9,11,21,29,31,39,50,69,66,62,26,29,16,23,32,20,15,5
"G20008700203004","2010","2","4","Kansas","20","Jefferson County","087",,,"020300","4",,,,,,,,,,"45820","99999","999",,,,,,,,,,,,,,"Block Group 4",,1351,1351,0,0,0,1351,0,1351,1321,1275,5,4,2,2,6,27,30,26,0,1,0,0,3,0,1351,696,34,40,61,44,10,12,7,19,18,41,39,51,62,62,51,26,25,11,23,25,15,8,12,655,40,42,38,29,15,8,3,15,22,35,41,60,54,67,52,25,25,10,27,21,15,6,5
"G20008905761001","2010","2","4","Kansas","20","Jewell County","089",,,"576100","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,546,546,0,0,0,546,0,546,531,518,1,6,0,0,0,6,15,10,0,0,0,0,5,0,546,282,13,11,14,8,2,3,1,5,14,9,6,15,18,32,30,14,17,10,10,18,14,9,9,264,9,9,15,11,3,1,0,2,12,4,8,12,21,27,30,11,9,12,15,10,17,15,11
"G20008905761002","2010","2","4","Kansas","20","Jewell County","089",,,"576100","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,550,550,0,0,0,550,0,550,548,547,0,0,0,0,0,1,2,1,0,0,0,0,1,0,550,291,6,15,22,8,6,1,1,6,13,9,13,12,24,17,34,9,15,10,18,20,20,5,7,259,7,14,15,11,3,1,1,5,3,8,12,14,21,19,24,4,15,11,8,28,17,14,4
"G20008905762001","2010","2","4","Kansas","20","Jewell County","089",,,"576200","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,998,998,0,0,0,998,0,998,961,943,0,8,2,0,1,7,37,18,1,3,0,0,2,13,998,524,37,29,31,19,5,5,4,23,26,18,18,29,34,29,52,13,27,18,16,28,21,25,17,474,26,20,29,15,2,1,4,12,16,20,13,22,30,43,43,15,21,12,12,34,35,25,24
"G20008905762002","2010","2","4","Kansas","20","Jewell County","089",,,"576200","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,983,983,0,0,0,983,0,983,974,951,3,3,4,0,1,12,9,6,0,0,0,0,3,0,983,477,25,29,17,28,5,3,9,12,15,24,19,21,30,42,47,14,20,8,23,21,27,25,13,506,26,20,20,18,6,3,0,12,19,20,25,22,31,44,37,16,20,7,27,31,49,22,31
"G20009100500001","2010","2","4","Kansas","20","Johnson County","091",,,"050000","1",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 1",,794,794,794,794,0,0,0,794,687,646,22,1,8,1,0,9,107,66,6,0,0,0,27,8,794,405,28,24,24,19,10,2,5,18,48,23,27,18,34,23,26,9,14,9,14,8,9,9,4,389,28,17,17,11,3,2,3,21,45,21,26,22,28,27,27,7,16,9,10,17,10,12,10
"G20009100500002","2010","2","4","Kansas","20","Johnson County","091",,,"050000","2",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 2",,641,641,641,641,0,0,0,641,575,538,2,0,19,0,0,16,66,65,0,0,0,0,1,0,641,310,23,16,23,8,3,1,1,10,37,35,8,30,16,27,24,8,9,3,4,8,5,7,4,331,20,9,21,7,5,2,2,13,34,28,18,28,27,21,23,9,5,9,7,11,8,14,10
"G20009100500003","2010","2","4","Kansas","20","Johnson County","091",,,"050000","3",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 3",,571,571,571,571,0,0,0,571,540,513,8,1,10,0,0,8,31,25,1,0,0,0,5,0,571,281,20,14,11,11,5,1,1,4,18,24,31,19,22,21,27,8,8,5,11,12,4,2,2,290,16,11,14,8,7,1,3,4,26,26,25,19,18,25,24,12,9,9,11,8,3,3,8
"G20009100500004","2010","2","4","Kansas","20","Johnson County","091",,,"050000","4",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 4",,753,753,753,753,0,0,0,753,722,693,9,1,5,2,0,12,31,25,0,3,0,0,1,2,753,353,20,23,23,16,8,1,0,10,23,30,27,30,20,20,20,8,14,10,9,9,14,11,7,400,26,20,31,5,5,2,0,4,21,32,30,31,28,27,29,10,15,9,10,14,17,15,19
"G20009100500005","2010","2","4","Kansas","20","Johnson County","091",,,"050000","5",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 5",,632,632,632,632,0,0,0,632,565,543,5,6,7,0,0,4,67,44,0,0,0,0,19,4,632,310,13,19,19,11,6,4,3,10,27,17,17,15,18,33,30,5,9,5,5,13,14,12,5,322,11,19,15,17,6,1,2,15,29,18,16,8,18,33,27,9,10,7,4,17,12,16,12
"G20009100500006","2010","2","4","Kansas","20","Johnson County","091",,,"050000","6",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 6",,1297,1297,1297,1297,0,0,0,1297,1254,1201,7,1,23,0,4,18,43,33,1,0,0,0,9,0,1297,614,48,43,32,17,8,2,5,13,43,47,50,41,37,32,52,23,28,16,16,31,12,12,6,683,39,33,34,21,5,2,3,13,51,53,39,53,36,69,63,27,35,14,28,19,24,13,9
"G20009100501001","2010","2","4","Kansas","20","Johnson County","091",,,"050100","1",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 1",,1186,1186,1186,1186,0,0,0,1186,958,726,148,15,32,1,1,35,228,97,0,0,0,0,112,19,1186,593,60,39,34,26,10,10,14,54,102,54,33,31,27,29,23,8,9,5,6,8,3,3,5,593,52,38,34,13,14,11,17,69,85,49,44,35,23,23,32,6,10,8,5,9,7,4,5
"G20009100501002","2010","2","4","Kansas","20","Johnson County","091",,,"050100","2",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 2",,831,831,831,831,0,0,0,831,728,691,15,1,11,0,0,10,103,62,6,3,0,1,27,4,831,422,30,23,36,18,11,1,2,12,40,41,29,27,29,39,26,10,13,4,5,7,4,6,9,409,19,20,20,13,9,1,1,14,37,36,34,23,28,39,36,14,18,5,6,9,7,7,13
"G20009100501003","2010","2","4","Kansas","20","Johnson County","091",,,"050100","3",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 3",,601,601,601,601,0,0,0,601,548,516,4,0,15,0,0,13,53,25,0,0,0,0,25,3,601,285,25,12,13,7,4,2,2,11,52,35,26,22,11,15,14,7,4,4,6,4,6,2,1,316,26,20,11,5,5,2,0,13,46,42,16,14,22,22,26,6,9,4,9,5,5,3,5
"G20009100501004","2010","2","4","Kansas","20","Johnson County","091",,,"050100","4",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 4",,901,901,901,901,0,0,0,901,844,801,8,1,8,0,0,26,57,28,0,1,0,0,23,5,901,393,25,19,9,12,6,6,3,13,54,50,46,26,33,27,22,8,7,3,8,6,3,2,5,508,29,17,12,11,7,0,1,27,78,67,42,35,41,44,24,15,12,8,2,8,9,6,13
"G20009100501005","2010","2","4","Kansas","20","Johnson County","091",,,"050100","5",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 5",,726,726,726,726,0,0,0,726,697,641,7,0,14,0,3,32,29,18,0,0,0,0,6,5,726,364,32,23,15,6,4,2,1,12,36,40,36,15,25,29,26,12,8,8,8,6,5,12,3,362,28,19,7,10,6,2,2,19,36,44,30,16,32,25,18,4,10,7,5,15,11,8,8
"G20009100502001","2010","2","4","Kansas","20","Johnson County","091",,,"050200","1",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 1",,926,926,926,926,0,0,0,926,888,841,21,0,6,0,1,19,38,25,0,0,0,0,10,3,926,429,28,26,24,10,9,1,2,6,55,65,29,27,23,30,32,7,7,9,6,14,7,6,6,497,32,13,17,12,3,1,1,16,73,68,29,29,34,42,34,6,15,14,11,19,7,11,10
"G20009100502002","2010","2","4","Kansas","20","Johnson County","091",,,"050200","2",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 2",,989,989,989,989,0,0,0,989,902,852,23,3,6,0,0,18,87,53,8,0,0,0,21,5,989,483,38,19,18,13,6,6,3,20,47,66,35,41,33,25,34,11,14,3,14,8,15,4,10,506,32,20,23,10,8,4,4,20,66,61,39,25,39,40,28,7,11,10,11,10,18,9,11
"G20009100502003","2010","2","4","Kansas","20","Johnson County","091",,,"050200","3",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 3",,1129,1129,1129,1129,0,0,0,1129,1026,961,18,2,13,0,0,32,103,61,0,0,0,0,30,12,1129,535,34,26,28,23,5,2,3,11,70,59,41,37,48,25,43,6,10,9,10,15,12,11,7,594,41,29,34,19,4,4,4,23,64,50,43,29,41,50,43,11,16,13,14,19,15,11,17
"G20009100502004","2010","2","4","Kansas","20","Johnson County","091",,,"050200","4",,,,,,,,,,"28140","99999","312",,,,,,,,,,,,,,"Block Group 4",,641,641,641,641,0,0,0,641,544,425,89,0,10,0,2,18,97,47,2,0,1,0,34,13,641,287,26,18,19,13,4,2,2,25,46,24,13,14,13,10,17,4,9,3,3,10,9,0,3,354,30,29,21,10,5,5,5,20,43,26,20,14,20,20,29,4,9,5,11,8,10,5,5
