GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
"G20000500818003","2010","2","4","Kansas","20","Atchison County","005",,,"081800","3",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 3",,1192
"G20000500819001","2010","2","4","Kansas","20","Atchison County","005",,,"081900","1",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 1",,940
"G20000500819002","2010","2","4","Kansas","20","Atchison County","005",,,"081900","2",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 2",,793
"G20000500819003","2010","2","4","Kansas","20","Atchison County","005",,,"081900","3",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 3",,631
"G20000500819004","2010","2","4","Kansas","20","Atchison County","005",,,"081900","4",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 4",,762
"G20000709681001","2010","2","4","Kansas","20","Barber County","007",,,"968100","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,562
"G20000709681002","2010","2","4","Kansas","20","Barber County","007",,,"968100","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,1002
"G20000709681003","2010","2","4","Kansas","20","Barber County","007",,,"968100","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,693
"G20000709681004","2010","2","4","Kansas","20","Barber County","007",,,"968100","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,881
"G20000709682001","2010","2","4","Kansas","20","Barber County","007",,,"968200","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,909
"G20000709682002","2010","2","4","Kansas","20","Barber County","007",,,"968200","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,814
"G20000909711001","2010","2","4","Kansas","20","Barton County","009",,,"971100","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,484
"G20000909711002","2010","2","4","Kansas","20","Barton County","009",,,"971100","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,1008
"G20000909711003","2010","2","4","Kansas","20","Barton County","009",,,"971100","3",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 3",,596
"G20000909711004","2010","2","4","Kansas","20","Barton County","009",,,"971100","4",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 4",,903
"G20000909711005","2010","2","4","Kansas","20","Barton County","009",,,"971100","5",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 5",,980
"G20000909712001","2010","2","4","Kansas","20","Barton County","009",,,"971200","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,618
"G20000909712002","2010","2","4","Kansas","20","Barton County","009",,,"971200","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,1086
"G20000909713001","2010","2","4","Kansas","20","Barton County","009",,,"971300","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,603
"G20000909713002","2010","2","4","Kansas","20","Barton County","009",,,"971300","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,555
"G20000909713003","2010","2","4","Kansas","20","Barton County","009",,,"971300","3",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 3",,1205
"G20000909713004","2010","2","4","Kansas","20","Barton County","009",,,"971300","4",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 4",,709
"G20000909714001","2010","2","4","Kansas","20","Barton County","009",,,"971400","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,1173
"G20000909714002","2010","2","4","Kansas","20","Barton County","009",,,"971400","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,724
"G20000909714003","2010","2","4","Kansas","20","Barton County","009",,,"971400","3",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 3",,676
"G20000909715001","2010","2","4","Kansas","20","Barton County","009",,,"971500","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,1218
"G20000909715002","2010","2","4","Kansas","20","Barton County","009",,,"971500","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,963
"G20000909715003","2010","2","4","Kansas","20","Barton County","009",,,"971500","3",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 3",,1304
"G20000909716001","2010","2","4","Kansas","20","Barton County","009",,,"971600","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,943
"G20000909716002","2010","2","4","Kansas","20","Barton County","009",,,"971600","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,742
"G20000909716003","2010","2","4","Kansas","20","Barton County","009",,,"971600","3",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 3",,742
"G20000909716004","2010","2","4","Kansas","20","Barton County","009",,,"971600","4",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 4",,855
"G20000909716005","2010","2","4","Kansas","20","Barton County","009",,,"971600","5",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 5",,666
"G20000909717001","2010","2","4","Kansas","20","Barton County","009",,,"971700","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,1351
"G20000909717002","2010","2","4","Kansas","20","Barton County","009",,,"971700","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,835
"G20000909717003","2010","2","4","Kansas","20","Barton County","009",,,"971700","3",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 3",,760
"G20000909718001","2010","2","4","Kansas","20","Barton County","009",,,"971800","1",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 1",,922
"G20000909718002","2010","2","4","Kansas","20","Barton County","009",,,"971800","2",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 2",,498
"G20000909718003","2010","2","4","Kansas","20","Barton County","009",,,"971800","3",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 3",,1859
"G20000909718004","2010","2","4","Kansas","20","Barton County","009",,,"971800","4",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 4",,1762
"G20000909718005","2010","2","4","Kansas","20","Barton County","009",,,"971800","5",,,,,,,,,,"24460","99999","999",,,,,,,,,,,,,,"Block Group 5",,934
"G20001109556001","2010","2","4","Kansas","20","Bourbon County","011",,,"955600","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,901
"G20001109556002","2010","2","4","Kansas","20","Bourbon County","011",,,"955600","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,790
"G20001109556003","2010","2","4","Kansas","20","Bourbon County","011",,,"955600","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,1083
"G20001109557001","2010","2","4","Kansas","20","Bourbon County","011",,,"955700","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1348
"G20001109557002","2010","2","4","Kansas","20","Bourbon County","011",,,"955700","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,984
"G20001109558001","2010","2","4","Kansas","20","Bourbon County","011",,,"955800","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1864
"G20001109558002","2010","2","4","Kansas","20","Bourbon County","011",,,"955800","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,569
"G20001109558003","2010","2","4","Kansas","20","Bourbon County","011",,,"955800","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,662
"G20001109558004","2010","2","4","Kansas","20","Bourbon County","011",,,"955800","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,696
"G20001109559001","2010","2","4","Kansas","20","Bourbon County","011",,,"955900","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1019
"G20001109559002","2010","2","4","Kansas","20","Bourbon County","011",,,"955900","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,809
"G20001109559003","2010","2","4","Kansas","20","Bourbon County","011",,,"955900","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,870
"G20001109559004","2010","2","4","Kansas","20","Bourbon County","011",,,"955900","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,704
"G20001109560001","2010","2","4","Kansas","20","Bourbon County","011",,,"956000","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,692
"G20001109560002","2010","2","4","Kansas","20","Bourbon County","011",,,"956000","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,619
"G20001109560003","2010","2","4","Kansas","20","Bourbon County","011",,,"956000","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,1563
"G20001304806001","2010","2","4","Kansas","20","Brown County","013",,,"480600","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1079
"G20001304806002","2010","2","4","Kansas","20","Brown County","013",,,"480600","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,973
"G20001304806003","2010","2","4","Kansas","20","Brown County","013",,,"480600","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,871
"G20001304807001","2010","2","4","Kansas","20","Brown County","013",,,"480700","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,565
"G20001304807002","2010","2","4","Kansas","20","Brown County","013",,,"480700","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,1136
"G20001304807003","2010","2","4","Kansas","20","Brown County","013",,,"480700","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,1287
"G20001304807004","2010","2","4","Kansas","20","Brown County","013",,,"480700","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,614
"G20001304808001","2010","2","4","Kansas","20","Brown County","013",,,"480800","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,628
"G20001304808002","2010","2","4","Kansas","20","Brown County","013",,,"480800","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,921
"G20001304808003","2010","2","4","Kansas","20","Brown County","013",,,"480800","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,1298
"G20001304808004","2010","2","4","Kansas","20","Brown County","013",,,"480800","4",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 4",,612
